14:09:54.579 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests], using SpringBootContextLoader
14:09:58.835 [cluster-ClusterId{value='6a10165d73f1c355b330f426', description='null'}-ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:121555}] to ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017
14:09:58.836 [cluster-ClusterId{value='6a10165d73f1c355b330f426', description='null'}-ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=321166900, setName='atlas-13epz3-shard-0', canonicalAddress=ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017, hosts=[ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017, ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017, ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017], passives=[], arbiters=[], primary='ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=227, topologyVersion=TopologyVersion{processId=6a0e0736b0848e7f43bcef9d, counter=4}, lastWriteDate=Fri May 22 14:10:17 IST 2026, lastUpdateTimeNanos=277751970561600}
14:09:58.836 [cluster-ClusterId{value='6a10165d73f1c355b330f426', description='null'}-ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=323527200, setName='atlas-13epz3-shard-0', canonicalAddress=ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017, hosts=[ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017, ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017, ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017], passives=[], arbiters=[], primary='ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000ed, setVersion=227, topologyVersion=TopologyVersion{processId=6a0e098abd17bae93c8bc7ab, counter=6}, lastWriteDate=Fri May 22 14:10:17 IST 2026, lastUpdateTimeNanos=277751970511500}
14:09:58.835 [cluster-ClusterId{value='6a10165d73f1c355b330f426', description='null'}-ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:107879}] to ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017
14:09:58.837 [cluster-ClusterId{value='6a10165d73f1c355b330f426', description='null'}-ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=440405000, setName='atlas-13epz3-shard-0', canonicalAddress=ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017, hosts=[ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017, ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017, ac-wci18i7-shard-00-02.wb3bzdp.mongodb.net:27017], passives=[], arbiters=[], primary='ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=227, topologyVersion=TopologyVersion{processId=6a0e0be3f72a9be424ff1caa, counter=3}, lastWriteDate=Fri May 22 14:10:17 IST 2026, lastUpdateTimeNanos=277751970457600}
14:09:58.835 [cluster-rtt-ClusterId{value='6a10165d73f1c355b330f426', description='null'}-ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:113158}] to ac-wci18i7-shard-00-00.wb3bzdp.mongodb.net:27017
14:09:58.841 [cluster-ClusterId{value='6a10165d73f1c355b330f426', description='null'}-ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff00000000000000ed from replica set primary ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017
14:09:58.842 [cluster-ClusterId{value='6a10165d73f1c355b330f426', description='null'}-ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 227 from replica set primary ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017
14:09:58.842 [cluster-ClusterId{value='6a10165d73f1c355b330f426', description='null'}-ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017
14:09:59.544 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:121550}] to ac-wci18i7-shard-00-01.wb3bzdp.mongodb.net:27017
